hora,temp,press,ventvel,rad,chuva,act,classe
19,27.4,1011.9,0.6,-2.95,0,0,normal
20,26.9,1011.8,0.8,-3.54,0,0.05,normal
21,26.2,1011.6,0.9,-3.54,0,0.032,normal
22,25.5,1011.1,0.7,-3.54,0,0.056,normal
23,25,1010.6,0.5,-3.54,0,0.147,normal
0,24.6,1009.8,0.4,-3.54,0,0.069,normal
1,24.1,1010.1,0.4,-3.54,0,0.073,normal
2,24,1010.1,0.5,-3.54,0,0.218,normal
3,23.7,1010,0.3,-3.54,0,0.256,normal
4,24.4,1010.3,0.7,34.84,0,0.533,normal
5,25.9,1011.4,0.9,161.8,0,0.861,normal
6,28.1,1011.8,1.8,253.1,0,1.265,normal
7,29.8,1011.8,2,391.9,0,1.246,normal
8,31.1,1011.7,2,2609,0,1.281,normal
9,31.7,1011.1,2.1,2979,0,1.044,normal
10,32.2,1010.3,1.8,2902,0,0.789,normal
11,32.4,1009.6,3.1,3052,0,0.672,normal
12,32.4,1009.1,2.6,2648,0,0.868,normal
13,32.6,1008.6,2,1988,0,0.757,normal
14,31.8,1008.4,1.5,1201,0,0.312,normal
15,30.8,1008.8,0.7,264.4,0,0.192,normal
16,29.2,1009.5,1.5,6.873,0,0.476,normal
17,29.1,1010.3,1.3,-3.11,0,0.284,normal
18,28.3,1011,0.6,-3,0,0.035,normal
19,27.4,1011.4,0.3,-3.54,0,0.025,normal
20,26.8,1011.6,0.3,-3.54,0,0.038,normal
21,26.4,1011.3,0.2,-3.54,0,0.098,normal
22,25.9,1010.5,0.3,-3.54,0,0.038,normal
23,25.6,1009.7,0.8,-3.54,0,0.098,normal
0,25,1009.1,0.4,-3.54,0,0.126,normal
1,24.9,1008.9,0.2,-3.54,0,0.143,normal
2,24.6,1009,0.1,-3.54,0,0.235,normal
3,24.5,1009.1,0.2,-3.54,0,0.42,normal
4,24.8,1009.6,0.3,37.36,0,0.747,normal
5,26.6,1010.2,1.1,170.7,0,1.263,normal
6,29,1010.9,1.6,339.7,0,1.403,normal
7,29.7,1011.3,1.4,755.4,0,1.392,normal
8,30.1,1011.3,2.1,2347,0,1.601,normal
9,31.1,1010.7,2.3,2449,0,1.239,normal
10,31.4,1009.8,2.4,2676,0,1.119,normal
11,32.2,1008.8,2.3,2740,0,1.031,normal
12,32.7,1007.9,2.3,2606,0,0.932,normal
13,32.5,1007.7,2.5,2017,0,0.843,normal
14,31.8,1007.8,0.9,1041,0,0.406,normal
15,30.5,1008,0.6,293.9,0,0.273,normal
16,29,1008.6,1.3,6.044,0,0.471,normal
17,28.3,1009.4,1.1,-3.51,0,0.297,normal
18,27.8,1010.4,1,-3.52,0,0.065,normal
19,27.1,1011,0.5,-3.48,0,0,normal
20,26.7,1011.3,0.5,-3.54,0,0,normal
21,26.3,1011.4,0.7,-3.54,0,0.027,normal
22,25.9,1010.5,0.2,-3.54,0,0.01,normal
23,25.8,1009.9,0.2,-3.54,0,0.017,normal
0,25.5,1009.1,0,-3.54,0,0.056,anormal
1,25.4,1008.4,0.2,-3.54,0,0.175,anormal
2,25.5,1008.6,0,-3.53,0,1.522641133,normal
3,25.3,1008.7,0,-3.46,0,1.000721719,anormal
4,25.6,1009.2,0,47.49,0,2.007811955,anormal
5,27.1,1010,0.8,323.7,0,2.363450976,anormal
6,27.3,1010.7,1.2,545.5,0,0.257794054,anormal
7,27.5,1011.1,1.8,674,0,1.772004168,anormal
8,29.3,1011.1,2.1,1367,0,0.244191059,anormal
9,30.8,1010.7,2.5,2283,0,2.202992525,anormal
10,31.3,1009.7,3.7,3034,0,0.243937153,anormal
11,32,1008.7,2.3,2822,0,1.834755353,anormal
12,32.4,1007.5,1.9,2376,0,2.951686726,anormal
13,31.8,1007.1,1.5,1735,0,0.525003421,anormal
14,31.4,1006.8,1.1,1123,0,0.091035636,anormal
15,30.3,1007.3,0.9,308,0,2.995286029,anormal
16,28.7,1007.6,0.1,4.89,0,2.995286029,anormal
17,27.9,1008.6,1.7,-3.54,0,0.299,normal
18,27.3,1009.6,1,-3.54,0,0.015,normal
19,27,1010.3,1,-3.31,0,0.004,normal
20,26.4,1010.3,0.7,-3.19,0,0.015,normal
21,25.9,1010.1,0.5,-3.52,0,0.034,normal
22,25.8,1009.5,0,-3.48,0,0.049,normal
23,26,1008.9,0,-3.28,0,0.19,normal
0,26,1008.4,0.5,-3.05,0,0.189,normal
1,25.5,1008.3,0,-3.53,0,0.131,normal
2,25.1,1008.5,0,-3.54,0,0.303,normal
3,24.4,1008.6,0,-3.54,0,0.389,anormal
4,24.8,1009.2,0,40.78,0,0.947,normal
5,26.4,1009.9,0.9,185.7,0,1.475,normal
6,27.6,1010.5,1.3,414.5,0,1.758,normal
7,29,1010.6,2.3,898.5,0,1.525,normal
8,29.5,1010.9,2.7,2085,0,1.861,normal
9,30.8,1010.3,2.3,2962,0,1.758,normal
10,31,1009.1,2.2,3024,0,1.32,normal
11,32.3,1008.3,1.7,2793,0,1.217,normal
12,32,1007.6,1.3,2344,0,1.209,normal
13,31.9,1007.3,2.3,1972,0,1.123,normal
14,31.5,1007.2,2.1,1236,0,0.648,normal
15,30.3,1007.3,0.8,317.1,0,0.361,normal
16,28.5,1007.6,0,6.998,0,0.586,normal
17,28.4,1008.1,0.8,-3.54,0,0.41,normal
18,27.9,1008.7,1.4,-3.54,0,0.037,normal
19,27.3,1009.7,0.9,-3.54,0,0.004,normal
20,26.7,1010,0.7,-3.54,0,0.033,normal
21,26.4,1010,0.5,-3.54,0,0.074,normal
22,26,1009.3,0,-3.54,0,0.053,normal
23,25.8,1008.7,0.1,-3.54,0,0.078,normal
0,25.6,1008.3,0.1,-3.54,0,0.102,normal
1,25.3,1008.1,0,-3.54,0,0.158,normal
