hora,temp,press,ventvel,rad,chuva,act,classe
17,266,10103,0,-354,0,393,normal
18,272,10113,9,-218,0,78,normal
19,263,10118,3,-32,0,18,normal
20,26,10119,6,-234,0,48,anormal
21,255,10117,4,-354,0,66,normal
22,251,1011,5,-354,0,165,anormal
23,246,10102,4,-354,0,93,normal
0,24,10098,0,-354,0,65,normal
1,237,10098,0,-354,0,53,normal
2,235,1010,0,-354,0,123,normal
3,232,10103,0,-354,0,158,normal
4,235,10109,0,3646,0,39,normal
5,257,10115,7,1506,0,801,normal
6,285,10119,14,2324,0,1144,anormal
7,295,10121,17,3691,0,1252,normal
8,304,10117,26,2650,0,1232,normal
9,322,1011,17,3001,0,1109,normal
10,305,10103,29,2360,0,941,normal
11,32,10096,28,2738,0,933,normal
12,323,10092,24,2615,0,968,normal
13,315,10088,19,1578,0,721,normal
14,309,10087,1,1109,0,431,normal
15,297,10088,8,2477,0,507,normal
16,279,10095,2,7251,0,543,normal
17,274,10102,0,-3,0,355,normal
18,28,10113,11,-301,0,56,normal
19,274,10119,6,-295,0,0,normal
20,269,10118,8,-354,0,5,normal
21,262,10116,9,-354,0,32,normal
22,255,10111,7,-354,0,56,anormal
23,25,10106,5,-354,0,147,normal
0,246,10098,4,-354,0,69,normal
1,241,10101,4,-354,0,73,normal
2,24,10101,5,-354,0,218,normal
3,237,1010,3,-354,0,256,normal
4,244,10103,7,3484,0,533,normal
5,259,10114,9,1618,0,861,normal
6,281,10118,18,2531,0,1265,normal
7,298,10118,2,3919,0,1246,anormal
8,311,10117,2,2609,0,1281,normal
9,317,10111,21,2979,0,1044,anormal
10,322,10103,18,2902,0,789,normal
11,324,10096,31,3052,0,672,normal
12,324,10091,26,2648,0,868,normal
13,326,10086,2,1988,0,757,normal
14,318,10084,15,1201,0,312,normal
15,308,10088,7,2644,0,192,normal
16,292,10095,15,6873,0,476,normal
17,291,10103,13,-311,0,284,normal
18,283,1011,6,-3,0,35,normal
19,274,10114,3,-354,0,25,normal
20,268,10116,3,-354,0,38,normal
21,264,10113,2,-354,0,98,normal
22,259,10105,3,-354,0,38,normal
23,256,10097,8,-354,0,98,normal
0,25,10091,4,-354,0,126,normal
1,249,10089,2,-354,0,143,normal
2,246,1009,1,-354,0,235,normal
3,245,10091,2,-354,0,42,normal
4,248,10096,3,3736,0,747,normal
5,266,10102,11,1707,0,1263,normal
6,29,10109,16,3397,0,1403,normal
7,297,10113,14,7554,0,1392,normal
8,301,10113,21,2347,0,1601,normal
9,311,10107,23,2449,0,1239,normal
10,314,10098,24,2676,0,1119,normal
11,322,10088,23,2740,0,1031,normal
12,327,10079,23,2606,0,932,normal
13,325,10077,25,2017,0,843,normal
14,318,10078,9,1041,0,406,normal
15,305,1008,6,2939,0,273,normal
16,29,10086,13,6044,0,471,normal
17,283,10094,11,-351,0,297,normal
18,278,10104,1,-352,0,65,normal
19,271,1011,5,-348,0,0,normal
20,267,10113,5,-354,0,0,normal
21,263,10114,7,-354,0,27,normal
22,259,10105,2,-354,0,1,anormal
23,258,10099,2,-354,0,17,normal
0,255,10091,0,-354,0,56,normal
1,254,10084,2,-354,0,175,normal
2,255,10086,0,-353,0,1522641133,normal
3,253,10087,0,-346,0,1000721719,normal
4,256,10092,0,4749,0,2007811955,anormal
5,271,1010,8,3237,0,2363450976,anormal
6,273,10107,12,5455,0,2577940541,normal
7,275,10111,18,674,0,1772004168,normal
8,293,10111,21,1367,0,2441910587,normal
9,308,10107,25,2283,0,2202992525,normal
